Tract,Population,VAP,Hispanic,Hispanic any race,NH_White,NH_Black,NH_AINA,NH_Asian,NH_NHPI,NH_some_other,NH_2+,CVAP
45035010501,6784,4605,6784,260,4958,1127,0,55,0,0,384,4558
45035010503,4938,3683,4938,102,4179,540,0,82,0,0,35,3627
45035010504,8521,6006,8521,341,5786,1938,101,69,0,0,286,5810
45035010505,6839,5317,6839,427,4965,1306,0,28,0,113,0,5199
45035010603,7411,5507,7411,547,5603,923,42,155,25,0,116,5392
45035010604,4590,3255,4590,277,2892,1033,35,37,0,0,316,3238
45035010605,8800,6482,8800,314,6262,1962,12,44,0,124,82,6482
45035010606,2076,1629,2076,86,1683,263,0,0,0,5,39,1612
45035010700,6261,4662,6261,277,3556,2084,85,0,115,0,144,4648
45035010801,7038,5070,7038,247,5664,939,0,49,0,68,71,5059
45035010807,5750,4328,5750,322,4354,732,24,93,0,0,225,4266
45035010808,8065,6401,8065,294,6019,1119,0,336,0,0,297,6160
45035010809,4425,3482,4425,303,3134,891,0,35,0,9,53,3322
45035010813,9284,7320,9284,274,5676,2920,39,105,0,8,262,7138
45035010814,6474,4866,6474,430,4633,1247,0,93,0,0,71,4832
45035010815,3182,2488,3182,271,1563,1066,0,93,0,0,189,2267
45035010816,13455,8755,13455,907,7115,3375,22,735,58,72,1171,7954
45035010817,4166,3288,4166,239,2759,1014,6,120,0,0,28,3251
45035010818,7909,5985,7909,1639,3061,2986,53,39,0,102,29,4974
45035010819,5128,3842,5128,253,3259,1280,0,223,0,4,109,3741
45035010820,6381,5213,6381,175,3966,1681,0,440,0,0,119,5141
45037970201,1909,1417,1909,0,1239,665,0,0,5,0,0,1417
45037970202,7253,6488,7253,502,3454,3136,52,36,7,14,52,6231
45037970300,4672,3736,4672,349,2059,2151,0,0,0,0,113,3421
45037970400,3331,2844,3331,310,1316,1658,12,0,0,2,33,2707
45037970501,4242,3134,4242,90,2867,1120,0,0,0,0,165,3115
45037970502,5520,4373,5520,355,4330,713,15,16,0,0,91,4266
45039960100,2029,1588,2029,5,347,1677,0,0,0,0,0,1583
45039960200,3493,2988,3493,8,1391,2020,26,0,0,0,48,2988
45039960300,6026,5030,6026,256,3247,2468,20,2,0,0,33,5010
45039960400,6245,4925,6245,212,1867,4155,0,0,0,0,11,4881
45039960500,4772,3680,4772,13,1761,2860,0,0,0,0,138,3680
45041000101,3609,2695,3609,176,2472,679,0,180,0,16,86,2560
45041000102,6152,4507,6152,117,4851,1126,0,58,0,0,0,4445
45041000201,2578,1956,2578,10,1698,727,0,57,0,1,85,1927
45041000202,7944,6621,7944,164,4851,2475,50,268,0,0,136,6539
45041000300,4353,3356,4353,13,684,3608,1,21,0,13,13,3338
45041000400,4627,3470,4627,145,2717,1668,0,97,0,0,0,3361
45041000500,6530,5023,6530,187,2662,3499,1,14,0,0,167,4994
45041000600,5177,3887,5177,181,3316,1414,0,203,0,0,63,3810
45041000700,2336,1668,2336,97,170,2036,16,17,0,0,0,1597
45041000800,3892,3003,3892,0,26,3866,0,0,0,0,0,3003
45041000900,4002,2811,4002,0,43,3959,0,0,0,0,0,2811
45041001000,1903,1623,1903,66,918,764,4,16,90,0,45,1578
45041001100,4589,3497,4589,50,2508,1790,43,25,0,35,138,3470
45041001200,3214,2372,3214,17,2805,313,0,34,0,0,45,2327
45041001300,3762,2857,3762,140,2442,1082,0,71,0,27,0,2843
45041001400,7814,6092,7814,252,4971,2128,92,297,0,0,74,6015
45041001503,3778,2878,3778,45,2262,1382,0,38,0,0,51,2827
